x_m,y_m,forward_from_s1_m,lateral_from_s1_m,in_signal_region,in_bearing_region,sampled_signal_margin_m,sampled_min_target_distance_m,sampled_max_target_distance_m
800.0,200.0,800.0,200.0,True,True,180.20665917022234,186.03004985574557,819.7933408297777
900.0,200.0,900.0,200.0,True,True,82.90607145520687,184.6196632152525,917.0939285447931
100.0,300.0,100.0,300.0,True,True,47.25176036500045,298.28132751281237,1435.819948097315
200.0,300.0,200.0,300.0,True,True,141.27329160081342,296.76498333326276,1338.6268153435913
300.0,300.0,300.0,300.0,True,True,233.83507190683122,294.718688827307,1241.8794539566527
400.0,300.0,400.0,300.0,True,True,324.3617580987783,293.31360119640357,1145.6907984104712
500.0,300.0,500.0,300.0,True,True,411.95726306008794,291.38710140597465,1050.214374766015
600.0,300.0,600.0,300.0,True,True,333.6080208548218,289.5217474023317,955.6636753418645
700.0,300.0,700.0,300.0,True,True,242.9805669773716,288.364500376144,862.3432540297798
800.0,300.0,800.0,300.0,True,True,150.24793376021978,286.02992969393074,849.7520662397802
900.0,300.0,900.0,300.0,True,True,56.03033619525149,284.41380069264846,943.9696638047485
100.0,400.0,100.0,400.0,True,True,10.46765377905433,398.2230083704923,1461.7829725229624
200.0,400.0,200.0,400.0,True,True,100.75658364473168,396.61887984360834,1366.437809108346
300.0,400.0,300.0,400.0,True,True,188.84363833916132,394.70837615087646,1271.807813139849
400.0,400.0,400.0,400.0,True,True,273.95797028471054,393.15304151655516,1178.065338156723
500.0,400.0,500.0,400.0,True,True,354.9727896863251,391.37806202901146,1085.4403568916455
600.0,400.0,600.0,400.0,True,True,282.995312233626,389.47918498688614,994.2452392502624
700.0,400.0,700.0,400.0,True,True,198.0674128183657,388.1112435613071,904.9123842530615
800.0,400.0,800.0,400.0,True,True,110.00223231251664,386.0298717872734,889.9977676874834
900.0,400.0,900.0,400.0,True,True,19.64487118515183,384.3149749920784,980.3551288148482
200.0,500.0,200.0,500.0,True,True,51.65167778396767,496.53158647160154,1400.8507492108886
300.0,500.0,300.0,500.0,True,True,134.88882575499906,494.70223252299616,1308.7114460290536
400.0,500.0,400.0,500.0,True,True,214.3476688605058,493.0575620154643,1217.812989079278
500.0,500.0,500.0,500.0,True,True,286.8400445634353,491.3727017340236,1128.4552732709233
600.0,500.0,600.0,500.0,True,True,222.75282265621365,489.4540109726333,1041.03512485204
700.0,500.0,700.0,500.0,True,True,143.77962720234382,487.95735412553654,956.084179650752
800.0,500.0,800.0,500.0,True,True,60.79103555245422,486.0298377090469,939.2089644475458
300.0,600.0,300.0,600.0,True,True,73.48753400181522,594.6981549683935,1352.0192988161625
400.0,600.0,400.0,600.0,True,True,145.4590594209892,592.9942705183151,1264.2385106355907
500.0,600.0,500.0,600.0,True,True,211.29445742110772,591.3691542354933,1178.4064830001764
600.0,600.0,600.0,600.0,True,True,154.93750106941138,589.4373776546141,1094.981582758173
700.0,600.0,700.0,600.0,True,True,81.77846942925305,587.855782919318,1014.5577824758641
