x_m,y_m,forward_from_s1_m,lateral_from_s1_m,in_signal_region,in_bearing_region,sampled_signal_margin_m,sampled_min_target_distance_m,sampled_max_target_distance_m
200.0,-450.0,200.0,-450.0,True,True,75.74331334529131,446.45380492119716,1383.9816572743773
250.0,-450.0,250.0,-450.0,True,True,118.79289659619837,445.5821074060502,1337.1449532759543
300.0,-450.0,300.0,-450.0,True,True,161.08677136981703,444.7035136261996,1290.5456305263972
350.0,-450.0,350.0,-450.0,True,True,202.507242818314,443.8266044942406,1244.2103611810176
400.0,-450.0,400.0,-450.0,True,True,242.91414119044418,442.951390015446,1198.169779818211
450.0,-450.0,450.0,-450.0,True,True,282.1403104985005,442.07788025490885,1152.4592052081682
500.0,-450.0,500.0,-450.0,True,True,319.9864517976125,441.20608533774816,1107.1195139046483
550.0,-450.0,550.0,-450.0,True,True,293.1730251104714,440.33601544931133,1062.1982001810618
600.0,-450.0,600.0,-450.0,True,True,253.940720529582,439.4676808353728,1017.7506643905026
650.0,-450.0,650.0,-450.0,True,True,213.48583958306494,438.601091802329,973.8417804072341
700.0,-450.0,700.0,-450.0,True,True,171.98756012437025,437.7362587173903,930.547801924304
750.0,-450.0,750.0,-450.0,True,True,129.5951076417192,436.87319200876834,887.9586758771919
800.0,-450.0,800.0,-450.0,True,True,86.43295117781997,436.0119021658598,913.56704882218
850.0,-450.0,850.0,-450.0,True,True,42.60518658909348,435.1523997394263,957.3948134109065
100.0,-400.0,100.0,-400.0,True,True,9.490454458287331,398.1954627548749,1462.9371375066853
150.0,-400.0,150.0,-400.0,True,True,54.768997034729864,397.3303709370476,1415.180718740782
200.0,-400.0,200.0,-400.0,True,True,99.55721443758148,396.4640292698606,1367.5846829703448
250.0,-400.0,250.0,-400.0,True,True,143.77967845337378,395.58470169729605,1320.1663772019497
300.0,-400.0,300.0,-400.0,True,True,187.34594486201627,394.70726515142036,1272.9456633705709
350.0,-400.0,350.0,-400.0,True,True,230.14704588382347,393.8317322715599,1225.9453741065972
400.0,-400.0,400.0,-400.0,True,True,272.0511283071937,392.95811578214114,1179.191866785379
450.0,-400.0,450.0,-400.0,True,True,312.898077413388,392.0864284930209,1132.7157000290097
500.0,-400.0,500.0,-400.0,True,True,352.49299694389094,391.2166832998101,1086.5524632946315
550.0,-400.0,550.0,-400.0,True,True,323.9115100620937,390.3488931841925,1040.7437983918298
600.0,-400.0,600.0,-400.0,True,True,282.995312233626,389.48307121423574,995.3386621097745
650.0,-400.0,650.0,-400.0,True,True,240.99025149119961,388.61923054469617,950.3948919738037
700.0,-400.0,700.0,-400.0,True,True,198.0674128183657,387.7573844173172,905.9811527230135
750.0,-400.0,750.0,-400.0,True,True,154.366538956584,386.89754616111946,862.1793592337632
800.0,-400.0,800.0,-400.0,True,True,110.00223231251664,386.0397291926844,889.9977676874834
850.0,-400.0,850.0,-400.0,True,True,65.0689316633335,385.18394701642956,934.9310683366665
900.0,-400.0,900.0,-400.0,True,True,19.64487118515183,384.3302132248768,980.3551288148482
100.0,-350.0,100.0,-350.0,True,True,29.168824450890384,348.2072559437153,1449.1610351232262
150.0,-350.0,150.0,-350.0,True,True,75.39289208290154,347.3464280701461,1400.9350820501436
200.0,-350.0,200.0,-350.0,True,True,121.21138241449569,346.46615985707797,1352.837943923168
250.0,-350.0,250.0,-350.0,True,True,166.558760298709,345.5880466588226,1304.883864915835
300.0,-350.0,300.0,-350.0,True,True,211.3554950464238,344.7121049443141,1257.0892169281817
350.0,-350.0,350.0,-350.0,True,True,255.50443533337034,343.83835130937354,1209.472900778075
400.0,-350.0,400.0,-350.0,True,True,298.8861374996594,342.9668024772741,1162.056838590933
450.0,-350.0,450.0,-350.0,True,True,341.3528550735027,342.0974752992954,1114.8665814864914
500.0,-350.0,500.0,-350.0,True,True,382.7208552202519,341.23038675526476,1067.9320638106142
550.0,-350.0,550.0,-350.0,True,True,352.24470668194874,340.3655539540864,1021.2885445916938
600.0,-350.0,600.0,-350.0,True,True,309.6471944911127,339.5029941342576,974.9777893437586
650.0,-350.0,650.0,-350.0,True,True,266.115082505146,338.6427246643702,929.0495617097424
700.0,-350.0,700.0,-350.0,True,True,221.80519908003396,337.7847630435988,883.5635158337441
750.0,-350.0,750.0,-350.0,True,True,176.8431351004217,336.92912690217366,838.5916079426917
800.0,-350.0,800.0,-350.0,True,True,131.33015461353807,336.07583400183785,868.6698453864619
850.0,-350.0,850.0,-350.0,True,True,85.34849459688928,335.22490223628944,914.6515054031107
900.0,-350.0,900.0,-350.0,True,True,38.96542601807835,334.3763496316057,961.0345739819217
100.0,-300.0,100.0,-300.0,True,True,46.66797630403971,298.2230031790558,1436.9935083856806
150.0,-300.0,150.0,-300.0,True,True,93.76752149192794,297.3480219523954,1388.3449648923747
200.0,-300.0,200.0,-300.0,True,True,140.5457717984823,296.469009084133,1339.7959322006584
250.0,-300.0,250.0,-300.0,True,True,186.94842206817611,295.5925231970226,1291.3576337873462
300.0,-300.0,300.0,-300.0,True,True,232.90880752609473,294.7185868366059,1243.0430148390988
350.0,-300.0,350.0,-300.0,True,True,278.3443974766327,293.8472227506646,1194.867078439982
400.0,-300.0,400.0,-300.0,True,True,323.1521268469172,292.9784538902485,1146.8473017534288
450.0,-300.0,450.0,-300.0,True,True,367.20214998962047,292.11230341067676,1099.0041546502644
500.0,-300.0,500.0,-300.0,True,True,410.32946581083274,291.2487946725122,1051.3617504636377
550.0,-300.0,550.0,-300.0,True,True,377.8439152297949,290.38795124250606,1003.9486683777147
600.0,-300.0,600.0,-300.0,True,True,333.6080208548218,289.5297968945133,956.7990003845158
650.0,-300.0,650.0,-300.0,True,True,288.60816287965133,288.67435561037485,909.9536941714292
700.0,-300.0,700.0,-300.0,True,True,242.9805669773716,287.82165158076845,863.4622886586612
750.0,-300.0,750.0,-300.0,True,True,196.83221053982822,286.97170920602343,817.3851737920596
800.0,-300.0,800.0,-300.0,True,True,150.24793376021978,286.1245530968999,849.7520662397802
850.0,-300.0,850.0,-300.0,True,True,103.29567296058349,285.2802080753307,896.7043270394165
900.0,-300.0,900.0,-300.0,True,True,56.03033619525149,284.43869917512336,943.9696638047485
950.0,-300.0,950.0,-300.0,True,True,8.496695801730084,283.6000516426218,991.5033041982699
50.0,-250.0,50.0,-250.0,True,True,13.774032630899683,249.09898547842076,1475.5614464217786
100.0,-250.0,100.0,-250.0,True,True,61.86815776002595,248.23052776726414,1426.475720286102
150.0,-250.0,150.0,-250.0,True,True,109.7562496614114,247.35026020789897,1377.4557629794053
200.0,-250.0,200.0,-250.0,True,True,157.40388381307218,246.47301428056016,1328.5088548310837
250.0,-250.0,250.0,-250.0,True,True,204.76875509940123,245.59882236383822,1279.6433783535238
300.0,-250.0,300.0,-250.0,True,True,251.79837186329962,244.72771718543075,1230.8690320921403
350.0,-250.0,350.0,-250.0,True,True,298.42692925226925,243.85973182427892,1182.197095480641
400.0,-250.0,400.0,-250.0,True,True,344.57102205553974,242.99489971263876,1133.6407592188482
450.0,-250.0,450.0,-250.0,True,True,390.12370217516525,242.1332546380826,1085.2155405087547
500.0,-250.0,500.0,-250.0,True,True,434.946160192824,241.27483074542772,1036.9398091312394
550.0,-250.0,550.0,-250.0,True,True,400.35888432194145,240.4196625385871,988.8354595990949
600.0,-250.0,600.0,-250.0,True,True,354.5780111709365,239.5677848823386,940.9287776234582
650.0,-250.0,650.0,-250.0,True,True,308.21273521659793,238.71923300400803,893.2515675661574
700.0,-250.0,700.0,-250.0,True,True,261.3731011065614,237.87404249506156,845.8426339212394
750.0,-250.0,750.0,-250.0,True,True,214.1439242320672,237.0322493126028,798.7497478924435
800.0,-250.0,800.0,-250.0,True,True,166.5914280055598,236.19388978076992,833.4085719944402
850.0,-250.0,850.0,-250.0,True,True,118.76795114666368,235.35900059202777,881.2320488533363
900.0,-250.0,900.0,-250.0,True,True,70.71532887995727,234.52761880835024,929.2846711200427
950.0,-250.0,950.0,-250.0,True,True,22.46735295892904,233.69978186228718,977.532647041071
50.0,-200.0,50.0,-200.0,True,True,25.943315015606345,199.11415368061375,1467.025636991221
100.0,-200.0,100.0,-200.0,True,True,74.65814449182585,198.2320146349303,1417.6443905256776
150.0,-200.0,150.0,-200.0,True,True,123.23106003242117,197.35363257571018,1368.308085333249
200.0,-200.0,200.0,-200.0,True,True,171.6376065502942,196.47905789107057,1319.0217643343738
250.0,-200.0,250.0,-200.0,True,True,219.84748549178244,195.60834164990504,1269.7912478778496
300.0,-200.0,300.0,-200.0,True,True,267.8227422427457,194.74153560711787,1220.6232881551166
350.0,-200.0,350.0,-200.0,True,True,315.5152549781516,193.8786922086586,1171.5257615545765
400.0,-200.0,400.0,-200.0,True,True,362.8632017255568,193.0198645963422,1122.5079101660945
